"File","Header","Footer","Logo","MainNav","Contact","Phone","FooterLinks"
"pages\about-website-knowledge-base-native-ecommerce-payment-taxes-and-orders-taxes-in-native-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-products-and-services-google-merchant-center-for-native-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-products-and-services-import-export-and-update-products-in-native-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-products-and-services-products-in-native-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-products-and-services-subscriptions-in-native-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-shipping-pickup-and-delivery-shipping-and-pickup-in-native-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-store-set-up-and-overview-add-or-remove-native-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-store-set-up-and-overview-how-do-i-know-if-i-am-using-native-ecommerce-or-third-party-ecommerce.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-store-set-up-and-overview-how-to-create-an-online-store-with-native-ecommerce.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-store-set-up-and-overview-native-ecommerce-and-third-party-ecommerce-comparison.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-store-set-up-and-overview-native-store-business-information.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-store-set-up-and-overview-native-store-overview.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-add-and-manage-products-or-services-add-and-edit-products-in-the-store-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-add-and-manage-products-or-services-add-and-manage-products-or-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-add-and-manage-products-or-services-import-products-faqs-and-troubleshooting-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-add-and-manage-products-or-services-import-products-to-your-store-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-add-and-manage-products-or-services-lowest-product-price-before-discounting-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-add-and-manage-products-or-services-product-options-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-manage-customers-add-a-store-login-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-manage-customers-customer-groups-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-manage-customers-email-notifications-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-manage-customers-request-customer-approval-for-promo-emails-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-manage-customers-send-automated-marketing-emails-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-manage-customers-strong-customer-authentication-sca-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-payments-and-orders-about-payment-options-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-payments-and-orders-edit-orders-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-payments-and-orders-offline-payments-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-payments-and-orders-online-payments-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-payments-and-orders-orders-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-payments-and-orders-payments-and-orders.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-sales-channels-and-reports-basic-reports-and-sales-stats-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-sales-channels-and-reports-connect-product-catalog-to-tiktok-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-sales-channels-and-reports-marketplaces-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-sales-channels-and-reports-reconnect-facebook-to-store-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-sales-channels-and-reports-sell-on-facebook-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-sales-channels-and-reports-store-app-market-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-shipping-and-delivery-buy-and-print-shipping-labels-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-shipping-and-delivery-inventory-tracking-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-shipping-and-delivery-shipping-and-delivery.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-shipping-and-delivery-shipping-faqs-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-shipping-and-delivery-shipping-options-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-shipping-and-delivery-shipping-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-store-overview-and-set-up-ecommerce-faqs-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-store-overview-and-set-up-ecommerce-getting-started-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-store-overview-and-set-up-how-to-add-a-store-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-store-overview-and-set-up-remove-free-demo-store-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-store-overview-and-set-up-store-overview-and-set-up.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-third-party-ecommerce-store-overview-and-set-up-store-plans-third-party-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-ai-tools-ai-assistant-for-the-text-editor.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-ai-tools-ai-tools-overview.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-ai-tools-create-a-flex-section-with-ai.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-ai-tools-generate-a-site-with-ai.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-ai-tools-generate-seo-content-with-ai.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-ai-tools-how-to-write-effective-ai-prompts.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-bookings-bookings-faqs.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-bookings-bookings-overview.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-bookings-manage-bookings.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-bookings-set-up-bookings.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-bookings-uninstall-bookings.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-connected-data-and-dynamic-pages-dynamic-content-airtable-collections.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-connected-data-and-dynamic-pages-dynamic-content-business-info-text-and-images.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-connected-data-and-dynamic-pages-dynamic-content-collections-for-regular-pages.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-connected-data-and-dynamic-pages-dynamic-content-collections.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-connected-data-and-dynamic-pages-dynamic-content-display-and-navigation-options-for-collection-records.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-connected-data-and-dynamic-pages-dynamic-content-dynamic-pages.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-connected-data-and-dynamic-pages-dynamic-content-external-collections.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-connected-data-and-dynamic-pages-dynamic-content-google-sheets-collections.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-connected-data-and-dynamic-pages-dynamic-content-internal-collections.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-connected-data-and-dynamic-pages-dynamic-content-overview.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-connected-data-and-dynamic-pages-internal-collections-import-records-from-a-csv.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-content-business-data.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-content-color-picker.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-content-element-backgrounds.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-content-image-editor.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-content-import-and-collect-content.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-content-media-guidelines-and-specifications.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-content-media-manager-libraries-and-pickers.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-content-media-panel.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-content-media-terms-and-licensing.html","YES","YES","YES","YES","YES","NO","YES"
"pages\about-website-knowledge-base-website-builder-edit-on-the-go-backup-publish-re-publish-and-unpublish-on-mobile.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-edit-on-the-go-edit-click-to-call-and-click-to-email-on-mobile.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-edit-on-the-go-edit-image-slider-and-photo-gallery-widgets-on-mobile.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-edit-on-the-go-edit-image-widgets-on-mobile.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-edit-on-the-go-edit-on-the-go.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-edit-on-the-go-edit-sites-on-a-tablet.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-edit-on-the-go-select-and-add-images-on-mobile.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-edit-on-the-go-site-stats-on-mobile.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-edit-on-the-go-use-the-dashboard-on-mobile.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-blog.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-canvas-actions-and-options.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-custom-code.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-design-with-flexbox-technology.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-editor-overview.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-editor-versions.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-features-only-available-in-editor-2-0.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-how-to-identify-the-editor-version-your-site-uses.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-keyboard-shortcuts.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-launching-your-site-checklist.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-manage-elements.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-outer-and-inner-spacing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-screen-sizes-and-devices.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-side-panel-improvements-in-the-editor.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-site-comments.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-site-theme.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-editor-system-requirements.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-header-and-footer-footer.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-header-and-footer-headers.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-pages-and-popups-custom-access-membership.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-pages-and-popups-membership.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-pages-and-popups-pages.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-pages-and-popups-personalization-rules.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-pages-and-popups-popups.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-pages-and-popups-single-page-management.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-pages-and-popups-taxes-for-membership.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-publishing-sites-configure-alternate-domains.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-publishing-sites-make-your-site-live-initial-steps-and-dns-record-setup.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-publishing-sites-unpublish-a-site.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-add-and-manage-multiple-languages.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-backup-sites.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-built-in-site-optimization.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-connect-and-sync-your-google-business-profile.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-core-web-vitals-best-practices-site-performance-and-optimization.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-core-web-vitals-faqs.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-core-web-vitals.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-facebook-tracking-pixels.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-general-data-protection-regulation-gdpr-compliance-information-and-resources.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-google-tools.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-indexnow.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-lighthouse-and-core-web-vitals-comparison.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-load-site-in-an-iframe.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-privacy-settings.html","YES","YES","YES","YES","YES","NO","YES"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-progressive-web-app-pwa.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-schema-markup.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-security-measures.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-seo-key-concepts-and-tools.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-set-a-default-site-language.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-site-configuration-files.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-site-icons.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-site-performance-and-optimization.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-site-seo-aeo-settings.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-site-settings.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-ssls-https.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-the-california-consumer-privacy-act-of-2018-ccpa-compliance-information-and-resources.html","YES","YES","YES","YES","YES","NO","YES"
"pages\about-website-knowledge-base-website-builder-site-settings-and-performance-url-redirects.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-advanced-widgets-widgets-advanced-accordion.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-advanced-widgets-widgets-advanced-forms.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-advanced-widgets-widgets-advanced-tabs.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-advanced-widgets-widgets-html.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-mega-menu.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-widgets-accordion.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-widgets-breadcrumbs.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-widgets-button.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-widgets-copyright.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-widgets-countdown.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-widgets-file-download-a-file-button.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-widgets-hamburger-menu.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-widgets-icon.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-widgets-list.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-widgets-navigation-links.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-widgets-spacer.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-widgets-table.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-widgets-tabs.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-widgets-text-and-titles-headings.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-basic-widgets-widgets-text-image.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-business-widgets-widgets-business-hours.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-business-widgets-widgets-click-to-call.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-business-widgets-widgets-click-to-email.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-business-widgets-widgets-contact-forms.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-business-widgets-widgets-coupons.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-business-widgets-widgets-google-calendar.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-business-widgets-widgets-map.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-business-widgets-widgets-multi-location.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-business-widgets-widgets-online-scheduling-vcita.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-business-widgets-widgets-opentable-reservation-button.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-business-widgets-widgets-paypal-button.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-business-widgets-widgets-restaurant-menu.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-business-widgets-widgets-yelp-reviews.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-business-widgets-widgets-zoom.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-media-widgets-media-widgets-photo-gallery.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-media-widgets-widgets-audio.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-media-widgets-widgets-before-after.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-media-widgets-widgets-image-slider.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-media-widgets-widgets-image.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-media-widgets-widgets-lottie-animation.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-media-widgets-widgets-media-slider.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-media-widgets-widgets-shape.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-media-widgets-widgets-video.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-social-widgets-widgets-disqus-comments.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-social-widgets-widgets-facebook-comments.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-social-widgets-widgets-facebook-feed.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-social-widgets-widgets-facebook-like.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-social-widgets-widgets-rss-feeds.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-social-widgets-widgets-social-icons.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-widget-overview-blog-widgets-all-posts-and-recent-posts.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-widget-overview-blog-widgets-search-posts.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-widget-overview-link-picker.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-widgets-widget-overview-widgets-library-and-overview.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base.html","YES","YES","YES","YES","YES","NO","YES"
"pages\about-widget-knowledge-base-3d-carousel-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-ada-accessibility-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-advanced-image-slider-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-age-verification-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-animate-content-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-back-to-top-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-bottom-menu-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-calendar-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-carousel-slider-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-click-to-text-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-clock-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-collapsible-boxes-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-comparison-slider-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-count-up-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-countdown-clock-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-current-date-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-dropdown-selector-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-duda-api-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-duda-templates-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-elastic-search-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-eventbrite-events-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-facebook-feed-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-facebook-messenger-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-filter-photo-gallery-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-flip-book-widget.html","YES","YES","YES","YES","YES","NO","NO"
